# frame slotsLen hsa hsub stalled scanIdx slots offsets shot2 rollback
321 6 5 1 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
322 6 5 2 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
323 6 5 3 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
324 6 5 4 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
325 6 5 5 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
326 6 5 6 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
327 6 5 7 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
328 6 5 8 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
329 6 5 9 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
330 6 5 10 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
331 6 5 11 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
332 6 5 12 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
333 6 5 13 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
334 6 5 14 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
335 6 5 15 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
336 6 5 16 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
337 6 5 17 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
338 6 5 18 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
339 6 5 19 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
340 6 5 20 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
341 6 5 21 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
342 6 5 22 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
343 6 5 23 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
344 6 5 24 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
345 6 5 25 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
346 6 5 26 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
347 6 5 27 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
348 6 5 28 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
349 6 5 29 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
350 6 5 30 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
351 6 5 31 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
352 6 5 32 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
353 6 5 33 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
354 6 5 34 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
355 6 5 35 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
356 6 5 36 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
357 6 5 37 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
358 6 5 38 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
359 6 5 39 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
360 6 5 40 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
361 6 5 41 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
362 6 5 42 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
363 6 5 43 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
364 6 5 44 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
365 6 5 45 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
366 6 5 46 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
367 6 5 47 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
368 6 5 48 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
369 6 5 49 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
370 6 5 50 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
371 6 5 51 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
372 6 5 52 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
373 6 5 53 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
374 6 5 54 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
375 6 5 55 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
376 6 5 56 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
377 6 5 57 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
378 6 5 58 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
379 6 5 59 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
380 6 5 60 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
381 6 5 61 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
382 6 5 62 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
383 6 5 63 0 0 [500521] [0,0,0,0,0,0] [000000] [0,0,0,0,0,0]
